month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us
202011,94303,"palo alto, ca",2385,6727,1275,-2619,46.930183,83.04447351,10.81589274,37.5,-0.0625,-2.5,-0.0385,-1.5,-20,-0.0702,-0.1017,0.4344,1493050,0.0664,0.2982,4.287
202011,94588,"pleasanton, ca",3268,1031,537,808,85.386691,80.8616743,89.911707,38.5,0.0405,1.5,-0.23,-11.5,-19,-0.0217,1.3224,2.0369,1032050,0.032,0.0321,2.9633
202011,95051,"santa clara, ca",416,7010,-44,-3376,45.017168,79.78253761,10.25179856,39,0.2188,7,-0.1702,-8,-18.5,-0.0283,-0.2746,0.4221,1366947.5,-0.0081,0.1886,3.9249
202011,95128,"san jose, ca",2246,6160,964,-1167,50.200294,87.43459778,12.96599084,35,-0.0278,-1,-0.3636,-20,-22.5,-0.1397,-0.1522,0.4795,1096550,-0.0014,0.0976,3.1485
202011,94533,"fairfield, ca",199,204,23,2162,95.164323,93.32079791,97.00784827,30.5,0.2708,6.5,-0.3646,-17.5,-27,-0.006,2.7303,2.7213,460050,0.0337,0.0723,1.3209
202011,94546,"castro valley, ca",1110,1056,-232,-266,85.116906,79.78253761,90.45127534,39,0.1143,4,-0.2041,-10,-18.5,-0.2189,0.497,2.0615,850050,0.0241,0.0012,2.4407
202011,94597,"walnut creek, ca",3891,3679,-1395,-2878,65.37361,83.04447351,47.70274689,37.5,0.25,7.5,-0.0854,-3.5,-20,-0.2711,0.0522,0.9918,849050,0.0119,0.2503,2.4378
202011,94619,"oakland, ca",4588,3983,-351,-2648,63.342054,86.55166776,40.1324395,35.5,0.1833,5.5,0.0143,0.5,-22,-0.1535,0.1813,0.8811,799050,0,0.0404,2.2943
202011,94608,"emeryville, ca",1753,8018,-125,-3893,38.370667,65.17331589,11.56801831,46,0.2105,8,0.0698,3,-11.5,0.0377,-0.1129,0.4508,662050,0.0185,-0.0529,1.9009
202011,94022,"los altos, ca",6036,8532,190,-3594,34.495585,57.29234794,11.69882276,49.5,0.0313,1.5,-0.01,-0.5,-8,-0.2292,-0.119,0.4549,3443050,-0.0657,-0.1388,9.8863
