SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-9-2020,Single Family Residential,3443 Cumberland Gap Ct,Pleasanton,CA,94588,985000,3,2,Valley Trails,1386,6000,1971,56,711,,Sold,,,http://www.redfin.com/CA/Pleasanton/3443-Cumberland-Gap-Ct-94588/home/1888497,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40919109,N,Y,37.6756266,-121.9044851
PAST SALE,,Single Family Residential,453 Los Rios Ct,Pleasanton,CA,94566,1765000,4,3,,2710,8120,1985,,651,,,,,http://www.redfin.com/CA/Pleasanton/453-Los-Rios-Ct-94566/home/1508669,,,N,Y,37.6518397,-121.874606
PAST SALE,July-21-2020,Single Family Residential,846 E Angela St,PLEASANTON,CA,94566,1391500,4,3,PLEASANTON,2920,7200,2000,136,477,,Sold,,,http://www.redfin.com/CA/Pleasanton/846-E-Angela-St-94566/home/918628,MLSListings,ML81792336,N,Y,37.6542483,-121.8627989
PAST SALE,November-20-2020,Single Family Residential,942 Clinton Pl,Pleasanton,CA,94566,975000,3,2,Kottinger Ranch,1587,5758,1990,14,614,144,Sold,,,http://www.redfin.com/CA/Pleasanton/942-Clinton-Pl-94566/home/2044325,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40925754,N,Y,37.6557977,-121.8595745
PAST SALE,November-23-2020,Single Family Residential,5622 San Jose Dr,Pleasanton,CA,94566,1202500,4,2,Mission Hills,1909,7000,1971,11,630,,Sold,,,http://www.redfin.com/CA/Pleasanton/5622-San-Jose-Dr-94566/home/1495006,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40926977,N,Y,37.647788,-121.8738278
PAST SALE,November-30-2020,Single Family Residential,340 Mullin Ct,Pleasanton,CA,94566-8118,2180000,5,4.5,Castlewood Hts,3657,11110,2003,4,596,110,Sold,,,http://www.redfin.com/CA/Pleasanton/340-Mullin-Ct-94566/home/1227725,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40926094,N,Y,37.6400398,-121.8824767
PAST SALE,November-2-2020,Single Family Residential,6486 Alvord Way,PLEASANTON,CA,94588,849000,4,2,PLEASANTON,1607,6501,1968,32,528,,Sold,,,http://www.redfin.com/CA/Pleasanton/6486-Alvord-Way-94588/home/1173073,MLSListings,ML81805504,N,Y,37.6889184,-121.9104644
PAST SALE,July-24-2020,Single Family Residential,7717 Cottonwood Ln,Pleasanton,CA,94588,1170000,3,2,Highland Oaks,1593,7789,1966,133,734,32,Sold,,,http://www.redfin.com/CA/Pleasanton/7717-Cottonwood-Ln-94588/home/1170514,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40908548,N,Y,37.6787749,-121.9197995
PAST SALE,October-29-2020,Single Family Residential,3908 Petrified Forest Ct,Pleasanton,CA,94588,1032500,4,2,Valley Trails,1549,6659,1970,36,667,,Sold,,,http://www.redfin.com/CA/Pleasanton/3908-Petrified-Forest-Ct-94588/home/1168987,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40922350,N,Y,37.6746835,-121.9102866
PAST SALE,November-19-2020,Single Family Residential,4611 Helpert Ct,Pleasanton,CA,94588,1140000,3,2,Val Vista,1555,6200,1968,15,733,,Sold,,,http://www.redfin.com/CA/Pleasanton/4611-Helpert-Ct-94588/home/1338054,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40924726,N,Y,37.687892,-121.9094642
PAST SALE,September-4-2020,Single Family Residential,4229 Holland Dr,Pleasanton,CA,94588,1100000,3,2,Val Vista,1372,6500,1971,91,802,,Sold,,,http://www.redfin.com/CA/Pleasanton/4229-Holland-Dr-94588/home/1738976,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40915278,N,Y,37.6797044,-121.9116869
PAST SALE,July-31-2020,Single Family Residential,7651 Fairoaks Dr,Pleasanton,CA,94588,1000000,3,2,Stoneridge,1357,7294,1971,126,737,,Sold,,,http://www.redfin.com/CA/Pleasanton/7651-Fairoaks-Dr-94588/home/1169969,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40911446,N,Y,37.6874092,-121.9242222
PAST SALE,September-28-2020,Townhouse,5375 Springdale Ave,Pleasanton,CA,94588,816000,3,2.5,Stoneridge Twnhm,1549,2660,1973,67,527,470,Sold,,,http://www.redfin.com/CA/Pleasanton/5375-Springdale-Ave-94588/home/1172135,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40916502,N,Y,37.6887169,-121.923965
PAST SALE,December-1-2020,Single Family Residential,3300 Newport St,Pleasanton,CA,94566,1500000,3,3.5,The Village,2928,7844,2011,3,512,225,Sold,,,http://www.redfin.com/CA/Pleasanton/3300-Newport-St-94566/home/40087432,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40929190,N,Y,37.680179,-121.859197
PAST SALE,July-28-2020,Single Family Residential,2623 Corte Vida,Pleasanton,CA,94566,1525000,4,2.5,Country Fair,2439,13069,1980,129,625,,Sold,,,http://www.redfin.com/CA/Pleasanton/2623-Corte-Vida-94566/home/2035707,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40920934,N,Y,37.6713455,-121.8980164
PAST SALE,October-23-2020,Single Family Residential,1820 Paseo Del Cajon,Pleasanton,CA,94566,1469000,4,2.5,Del Prado,2630,6981,1968,42,559,,Sold,,,http://www.redfin.com/CA/Pleasanton/1820-Paseo-del-Cajon-94566/home/1798124,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921245,N,Y,37.6695918,-121.8911028
