Rank,Median Household Income,Zip , Population
205,95975,91784 ,"26,034"
206,95806,92010 ,"15,283"
207,95631,90720 ,"22,325"
208,95625,93441 ,"1,195"
209,95435,95037 ,"46,834"
210,95306,92037 ,"39,241"
211,95189,94403 ,"40,032"
212,94933,93111 ,"17,554"
213,94712,93932 ,564
214,94697,92807 ,"36,323"
215,94420,94569 ,320
216,94318,92091 ,"1,433"
217,94196,92881 ,"32,817"
218,94173,93065 ,"72,273"
219,93919,91364 ,"26,975"
220,93917,92883 ,"31,940"
221,93889,92007 ,"11,782"
222,93810,94021 ,211
223,93750,94939 ,"6,935"
224,93713,92691 ,"48,129"
225,93588,93312 ,"56,313"
226,93529,93645 ,212
227,93523,93012 ,"35,366"
228,93509,91789 ,"43,369"
229,93393,95571 ,152
230,93389,94951 ,"4,812"
231,93099,92661 ,"3,152"
232,93092,91935 ,"8,426"
233,93049,94930 ,"8,756"
234,92806,92653 ,"28,853"
235,92684,92508 ,"36,583"
236,92678,95747 ,"56,415"
237,92489,94085 ,"23,964"
238,92464,95672 ,"5,166"
239,92402,92024 ,"49,226"
240,92397,92835 ,"23,378"
241,92356,94020 ,"1,483"
242,92137,93924 ,"5,967"
243,92107,94536 ,"70,696"
244,92006,94030 ,"22,203"
245,91882,94534 ,"36,499"
246,91737,93460 ,"4,944"
247,91617,91360 ,"44,208"
248,91518,95638 ,"2,047"
249,91180,92604 ,"28,425"
250,90984,95118 ,"31,579"
251,90966,91765 ,"47,562"
252,90903,95614 ,"4,283"
253,90881,95123 ,"64,602"
254,90876,92118 ,"22,664"
255,90833,92075 ,"12,437"
256,90780,91024 ,"11,060"
257,90613,90703 ,"50,069"
258,90528,91604 ,"29,072"
259,90298,92128 ,"49,264"
260,90228,92606 ,"22,294"
261,90179,93651 ,"1,569"
262,89849,91214 ,"31,078"
263,89715,94965 ,"11,114"
264,89607,94513 ,"56,929"
265,89596,91355 ,"33,635"
266,89541,92592 ,"74,558"
267,89508,91711 ,"36,484"
268,89500,90067 ,"2,364"
268,89500,94510 ,"27,515"
270,89464,94303 ,"47,159"
271,89403,93510 ,"7,289"
272,89026,92845 ,"17,202"
273,88987,95008 ,"45,495"
274,88971,90742 ,842
275,88955,91208 ,"16,548"
276,88929,91207 ,"10,334"
277,88926,91902 ,"19,504"
278,88810,94041 ,"13,551"
279,88797,94089 ,"20,476"
280,88750,93208 ,125
280,88750,94973 ,"1,831"
282,88693,94531 ,"42,587"
283,88384,92629 ,"26,955"
284,88333,95493 ,187
285,88160,92869 ,"37,390"
286,88012,94597 ,"20,645"
287,87782,95757 ,"44,638"
288,87738,95655 ,"4,592"
289,87720,93311 ,"44,358"
290,87652,94538 ,"63,850"
291,87598,94530 ,"24,301"
292,87596,96121 ,249
293,87500,95136 ,"41,852"
294,87425,92336 ,"91,510"
295,87361,92532 ,"21,260"
296,87251,90603 ,"20,475"
297,87156,95819 ,"18,374"
298,87110,92646 ,"55,505"
299,87100,95765 ,"36,391"
300,87095,90713 ,"28,411"
301,86967,92663 ,"22,772"
302,86573,90064 ,"25,788"
303,86521,94560 ,"43,635"
304,86505,93010 ,"43,234"
305,86469,92649 ,"32,976"
306,86196,94903 ,"30,110"
307,86070,94122 ,"58,547"
308,86031,95065 ,"8,331"
309,85914,92596 ,"26,044"
310,85857,92648 ,"46,623"
311,85707,92126 ,"78,201"
312,85655,91001 ,"37,481"
313,85514,95121 ,"38,603"
314,85361,92860 ,"27,304"
315,85330,94115 ,"34,556"
316,85251,92865 ,"19,715"
317,85200,93551 ,"50,572"
318,85000,94548 ,400
318,85000,94586 ,984
320,84828,94116 ,"45,552"
321,84819,94521 ,"41,138"
322,84785,92630 ,"59,657"
323,84761,91107 ,"31,828"
324,84750,92676 ,"2,033"
325,84741,91913 ,"43,655"
