property_type,zipcode,price,beds,baths,sqft,lot_size,days_on_market,price_per_sqft,hoa_month,property_age,school_rating,school_count,median_income,hotness_score,supply_score,demand_score,university_count,barts,malls,universities,bedBath,AvgRoomSize
2,94588,745000,4,2,1541,1050,126,483,225.0,42,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,256.833
0,94566,820000,3,2,1280,3486,81,641,0.0,40,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,256.0
0,94588,1090000,4,2,2000,7702,73,545,0.0,53,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,333.333
0,94566,1337000,4,2,2469,7148,59,542,31.0,50,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,411.5
0,94566,1270000,4,2,1930,6700,45,658,0.0,50,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,321.667
0,94566,1280000,4,3,2434,2527,24,526,189.0,1,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,347.714
0,94566,1403000,4,3,2342,6636,25,599,150.0,27,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,334.571
2,94588,965000,4,3,1928,1369,24,501,295.0,27,9,6,134451,85.91,87.06,84.76,0,1,1,0,12,275.429
2,94588,710000,4,2,1474,1027,142,482,292.0,48,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,245.667
0,94566,1440000,4,2,2167,9049,91,665,0.0,55,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,361.167
1,94566,655000,3,2,1371,0,111,478,0.0,34,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,274.2
0,94566,1052000,3,2,1745,6628,70,603,0.0,36,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,349.0
0,94566,1560000,5,3,2613,7375,24,597,0.0,34,8,9,126782,80.07,79.57,80.57,0,0,1,0,15,326.625
0,94566,810000,2,2,1241,4790,168,653,0.0,35,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,310.25
0,94566,1850000,4,2,3602,15920,133,514,0.0,37,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,600.333
2,94566,610000,2,2,1198,1521,25,509,440.0,36,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,299.5
