address,property_type,zipcode,price,beds,baths,sqft,lot_size,days_on_market,price_per_sqft,hoa_month,lat,long,property_age,school_rating,school_count,bart_count,median_income,hotness_score,supply_score,demand_score,malls_count,university_count
"2963 enfield st, san ramon, ca 94582",Single Family Residential,94582,1352000,4,3,2645,5500,78,511,0.0,37.7504777,-121.8951932,15,8,10,0,145704,84.78,92.18,77.38,1,0
"6272 murdock way, san ramon, ca 94582",Single Family Residential,94582,1440000,5,3,3324,5754,135,433,0.0,37.7500511,-121.8894132,14,8,10,0,145704,84.78,92.18,77.38,1,0
"3115 ashbrook ln, san ramon, ca 94582",Single Family Residential,94582,1375000,5,3,3223,5091,50,427,0.0,37.7613866,-121.8882571,17,8,10,0,145704,84.78,92.18,77.38,1,0
"500 casella ct, san ramon, ca 94582",Single Family Residential,94582,1805000,4,4,3836,7534,13,471,0.0,37.7669691,-121.8975718,19,8,10,0,145704,84.78,92.18,77.38,1,0
"160 reflections dr #13, san ramon, ca 94583",Condo/Co-op,94583,525000,2,2,943,0,78,557,370.0,37.762898,-121.9486588,33,9,9,0,128411,92.79,94.38,91.19,1,0
"354 s overlook dr, san ramon, ca 94582",Condo/Co-op,94582,465000,1,1,778,0,111,598,0.0,37.7667866,-121.945641,33,8,10,0,145704,84.78,92.18,77.38,1,0
"817 pinehurst ct, san ramon, ca 94583",Single Family Residential,94583,1268000,4,2,2170,10455,86,584,0.0,37.7413492,-121.9366894,44,9,9,0,128411,92.79,94.38,91.19,1,0
"2020 canyon woods dr unit d, san ramon, ca 94582",Condo/Co-op,94582,620000,2,2,1042,0,51,595,452.0,37.761331,-121.943319,35,8,10,0,145704,84.78,92.18,77.38,1,0
"63 rainbow bridge way, san ramon, ca 94582",Single Family Residential,94582,1225000,4,2,2163,6624,164,566,175.0,37.763404,-121.941215,35,8,10,0,145704,84.78,92.18,77.38,1,0
"340 s overlook dr, san ramon, ca 94582",Condo/Co-op,94582,603000,2,2,1079,0,140,559,538.0,37.7670437,-121.94584070000002,33,8,10,0,145704,84.78,92.18,77.38,1,0
"3072 montevideo dr, san ramon, ca 94583",Single Family Residential,94583,975000,4,2,1520,7505,139,641,0.0,37.7521815,-121.9512439,44,9,9,0,128411,92.79,94.38,91.19,1,0
"2868 milo way, san ramon, ca 94583",Single Family Residential,94583,975000,4,2,2053,7000,127,475,0.0,37.74568950000001,-121.952577,54,9,9,0,128411,92.79,94.38,91.19,1,0
"409 ustilago ct, san ramon, ca 94582",Single Family Residential,94582,1525000,4,3,3015,9264,86,506,40.0,37.7714284,-121.9376005,18,8,10,0,145704,84.78,92.18,77.38,1,0
"174 copper ridge rd, san ramon, ca 94582",Condo/Co-op,94582,610000,2,2,1079,0,52,565,479.0,37.7694509,-121.9472581,33,8,10,0,145704,84.78,92.18,77.38,1,0
"3025 newport ave, san ramon, ca 94583",Single Family Residential,94583,993000,3,2,1533,7125,146,648,0.0,37.7474309,-121.9492219,53,9,9,0,128411,92.79,94.38,91.19,1,0
"2904 biddleford, san ramon, ca 94583",Single Family Residential,94583,972500,4,2,1703,8075,31,571,0.0,37.7438783,-121.9487998,53,9,9,0,128411,92.79,94.38,91.19,1,0
"906 renada pl, san ramon, ca 94583",Single Family Residential,94583,1095088,4,2,2209,7000,97,496,0.0,37.7495144,-121.9404005,44,9,9,0,128411,92.79,94.38,91.19,1,0
"2190 canyon lakes dr, san ramon, ca 94582",Single Family Residential,94582,1100000,3,3,1923,4500,3,572,155.0,37.7761961,-121.9524881,33,8,10,0,145704,84.78,92.18,77.38,1,0
"371 s overlook dr, san ramon, ca 94582",Condo/Co-op,94582,450000,1,1,778,0,13,578,438.0,37.7665862,-121.9450605,33,8,10,0,145704,84.78,92.18,77.38,1,0
"3073 lakemont dr #5, san ramon, ca 94582",Condo/Co-op,94582,835000,3,2,1932,0,106,432,604.0,37.7800811,-121.9503071,34,8,10,0,145704,84.78,92.18,77.38,1,0
"5250 e lakeshore dr, san ramon, ca 94582",Single Family Residential,94582,1313000,3,2,2000,4900,37,657,225.0,37.7829493,-121.9470666,32,8,10,0,145704,84.78,92.18,77.38,1,0
"4269 lilac ridge rd, san ramon, ca 94582",Single Family Residential,94582,1700000,4,4,3144,12426,125,541,40.0,37.7810062,-121.9448446,21,8,10,0,145704,84.78,92.18,77.38,1,0
"2380 barbados dr, san ramon, ca 94582",Single Family Residential,94582,1310000,3,2,1879,12600,86,697,37.0,37.7833222,-121.9516438,42,8,10,0,145704,84.78,92.18,77.38,1,0
"3613 crow canyon rd, san ramon, ca 94582",Condo/Co-op,94582,605000,2,2,1107,0,27,547,450.0,37.7880728,-121.9471945,34,8,10,0,145704,84.78,92.18,77.38,1,0
"3561 rosincress dr, san ramon, ca 94582",Single Family Residential,94582,1835000,5,5,3847,9053,1,477,40.0,37.7796481,-121.9420448,21,8,10,0,145704,84.78,92.18,77.38,1,0
"902 cloverberry way, san ramon, ca 94582",Townhouse,94582,980000,4,2,2011,2500,73,487,250.0,37.785299,-121.928799,25,8,10,0,145704,84.78,92.18,77.38,1,0
"517 ivy pointe cir, san ramon, ca 94582",Townhouse,94582,842000,3,2,1532,1870,105,550,240.0,37.784013,-121.924761,27,8,10,0,145704,84.78,92.18,77.38,1,0
"662 s blackbrush ln, san ramon, ca 94582",Townhouse,94582,915000,3,2,1532,2100,21,597,260.0,37.784704,-121.927361,26,8,10,0,145704,84.78,92.18,77.38,1,0
"517 morning glory ct, san ramon, ca 94582",Single Family Residential,94582,1410000,4,2,2513,7460,10,561,0.0,37.7851428,-121.91999950000002,26,8,10,0,145704,84.78,92.18,77.38,1,0
"2546 derby dr, san ramon, ca 94583",Single Family Residential,94583,1420000,4,3,2801,9000,97,507,40.0,37.7588158,-121.9797916,35,9,9,0,128411,92.79,94.38,91.19,1,0
"25 wentwood dr, san ramon, ca 94583",Single Family Residential,94583,1780000,5,4,4523,21500,161,394,173.0,37.756174,-122.000137,20,9,9,0,128411,92.79,94.38,91.19,1,0
"177 rosario ct, san ramon, ca 94583",Townhouse,94583,730000,3,2,1790,2184,104,408,465.0,37.761352,-121.97446,41,9,9,0,128411,92.79,94.38,91.19,1,0
"2707 mohawk cir, san ramon, ca 94583",Single Family Residential,94583,1235000,4,3,2539,9775,118,486,40.0,37.75168950000001,-121.9618418,38,9,9,0,128411,92.79,94.38,91.19,1,0
"161 lyndhurst pl, san ramon, ca 94583",Single Family Residential,94583,1890000,5,4,4310,14870,65,439,173.0,37.7562925,-121.9996122,20,9,9,0,128411,92.79,94.38,91.19,1,0
"2901 morgan dr, san ramon, ca 94583",Single Family Residential,94583,1402500,5,3,2214,7488,9,633,40.0,37.7555673,-121.9712614,36,9,9,0,128411,92.79,94.38,91.19,1,0
"2341 poppyview ave, san ramon, ca 94582",Single Family Residential,94582,1585000,5,6,4321,7358,112,367,26.0,37.768272,-121.91475420000002,9,8,10,0,145704,84.78,92.18,77.38,1,0
"6100 hedgecrest cir, san ramon, ca 94582",Single Family Residential,94582,1374000,4,3,2716,5515,111,506,0.0,37.7733444,-121.9324894,23,8,10,0,145704,84.78,92.18,77.38,1,0
"1001 cedarwood loop, san ramon, ca 94582",Townhouse,94582,874000,3,2,1433,3396,41,610,205.0,37.7708542,-121.9209329,15,8,10,0,145704,84.78,92.18,77.38,1,0
"1085 rosamund dr, san ramon, ca 94582",Single Family Residential,94582,1840000,4,4,3222,6615,111,571,0.0,37.7663113,-121.9254668,4,8,10,0,145704,84.78,92.18,77.38,1,0
"2246 dewberry dr, san ramon, ca 94582",Single Family Residential,94582,1059000,3,2,1675,7039,90,632,40.0,37.773624700000006,-121.9419559,23,8,10,0,145704,84.78,92.18,77.38,1,0
"3145 cedarwood loop, san ramon, ca 94582",Townhouse,94582,870000,4,3,1564,3879,118,556,205.0,37.771003,-121.920626,14,8,10,0,145704,84.78,92.18,77.38,1,0
"1917 hollyview dr, san ramon, ca 94582",Single Family Residential,94582,1425000,4,3,2790,5100,43,511,20.0,37.780033,-121.9179325,18,8,10,0,145704,84.78,92.18,77.38,1,0
"2901 cedarwood loop, san ramon, ca 94582",Townhouse,94582,865000,3,2,1434,3396,59,603,205.0,37.7719566,-121.9206218,14,8,10,0,145704,84.78,92.18,77.38,1,0
"407 deerhill dr, san ramon, ca 94583",Single Family Residential,94583,1108000,4,2,2045,3940,114,542,34.0,37.7759266,-121.9911864,24,9,9,0,128411,92.79,94.38,91.19,1,0
"351 murindo pl, san ramon, ca 94583",Single Family Residential,94583,1535000,5,2,2760,16900,24,556,39.0,37.767294,-121.9898537,47,9,9,0,128411,92.79,94.38,91.19,1,0
"46 photinia ct, san ramon, ca 94583",Single Family Residential,94583,1588000,4,4,2868,6500,86,554,102.0,37.758794,-121.91831100000002,3,9,9,0,128411,92.79,94.38,91.19,1,0
"2300 oleaster dr, san ramon, ca 94582",Single Family Residential,94582,1675000,5,4,3850,10401,49,435,30.0,37.7768243,-121.9154432,16,8,10,0,145704,84.78,92.18,77.38,1,0
"3489 ironwood dr, san ramon, ca 94582",Single Family Residential,94582,1568000,4,4,3177,6377,146,494,20.0,37.7761793,-121.9083528,8,8,10,0,145704,84.78,92.18,77.38,1,0
"2601 basswood dr, san ramon, ca 94582",Single Family Residential,94582,1190000,3,2,2379,4413,150,500,138.0,37.7702724,-121.917288,16,8,10,0,145704,84.78,92.18,77.38,1,0
"6250 main branch rd, san ramon, ca 94582",Townhouse,94582,1000000,4,4,2254,0,111,444,226.0,37.7658195,-121.9124262,5,8,10,0,145704,84.78,92.18,77.38,1,0
"815 ridgepointe ct, san ramon, ca 94582",Single Family Residential,94582,1600000,4,3,2507,13480,42,638,0.0,37.7406479,-121.9181992,27,8,10,0,145704,84.78,92.18,77.38,1,0
"2317 poppyview ave, san ramon, ca 94582",Single Family Residential,94582,1789000,5,6,4321,9174,104,414,26.0,37.7680082,-121.9154432,8,8,10,0,145704,84.78,92.18,77.38,1,0
"1509 cedarwood loop, san ramon, ca 94582",Townhouse,94582,917000,4,3,1557,4060,76,589,205.0,37.7698484,-121.9207996,15,8,10,0,145704,84.78,92.18,77.38,1,0
"5130 rowan dr, san ramon, ca 94582",Single Family Residential,94582,1080000,4,3,2171,2199,118,497,154.0,37.7610419,-121.9115634,3,8,10,0,145704,84.78,92.18,77.38,1,0
"317 arrowleaf st, san ramon, ca 94582",Single Family Residential,94582,1499995,4,4,2936,3825,38,511,58.0,37.751206,-121.918073,1,8,10,0,145704,84.78,92.18,77.38,1,0
"2892 fieldview ter, san ramon, ca 94583",Single Family Residential,94583,1770000,5,4,3141,19000,99,564,0.0,37.7638632,-121.9840343,30,9,9,0,128411,92.79,94.38,91.19,1,0
"25 dogie ct, san ramon, ca 94583",Single Family Residential,94583,1215000,4,3,2539,10320,160,479,40.0,37.7607669,-121.9850116,41,9,9,0,128411,92.79,94.38,91.19,1,0
"141 woodcrest dr, san ramon, ca 94583",Single Family Residential,94583,1040000,4,2,2045,3820,149,509,34.0,37.7752052,-121.9906089,23,9,9,0,128411,92.79,94.38,91.19,1,0
"106 compton cir unit a, san ramon, ca 94583",Condo/Co-op,94583,530000,2,2,995,1058,69,533,495.0,37.7726234,-121.9773975,35,9,9,0,128411,92.79,94.38,91.19,1,0
"200 marsh ct, san ramon, ca 94583",Single Family Residential,94583,1350000,5,3,2377,10350,76,568,0.0,37.7671919,-121.9815464,50,9,9,0,128411,92.79,94.38,91.19,1,0
"205 northhill ct, san ramon, ca 94583",Single Family Residential,94583,1080000,4,2,2148,4475,141,503,39.0,37.7755475,-121.993674,24,9,9,0,128411,92.79,94.38,91.19,1,0
"2308 avila ct, san ramon, ca 94583",Single Family Residential,94583,1153579,4,4,2424,2563,101,476,187.0,37.78083,-121.993651,1,9,9,0,128411,92.79,94.38,91.19,1,0
"2611 campeche ct, san ramon, ca 94583",Single Family Residential,94583,1300000,4,4,3076,9200,69,423,26.0,37.7642625,-121.9806135,43,9,9,0,128411,92.79,94.38,91.19,1,0
"10 broadmoor ct, san ramon, ca 94583",Single Family Residential,94583,1100000,4,2,2045,8000,85,538,0.0,37.7298597,-121.9334005,60,9,9,0,128411,92.79,94.38,91.19,1,0
"172 winged foot pl, san ramon, ca 94583",Single Family Residential,94583,1150000,4,2,2013,10000,41,571,0.0,37.7328058,-121.9249334,56,9,9,0,128411,92.79,94.38,91.19,1,0
"9005 alcosta blvd #196, san ramon, ca 94583",Townhouse,94583,476000,2,2,1230,0,50,387,607.0,37.7259754,-121.9352865,50,9,9,0,128411,92.79,94.38,91.19,1,0
"7883 kennard ln, san ramon, ca 94582",Single Family Residential,94582,1800000,5,4,4336,14609,56,415,0.0,37.7459419,-121.8857449,11,8,10,0,145704,84.78,92.18,77.38,1,0
"600 karina ct, san ramon, ca 94582",Single Family Residential,94582,1510000,5,4,3543,6323,76,426,0.0,37.7608919,-121.8916363,17,8,10,0,145704,84.78,92.18,77.38,1,0
"5721 wells ln, san ramon, ca 94582",Single Family Residential,94582,1575000,6,5,3953,6397,111,398,0.0,37.7777511,-121.895949,14,8,10,0,145704,84.78,92.18,77.38,1,0
"3016 newport ave, san ramon, ca 94583",Single Family Residential,94583,1000000,4,2,1795,7000,148,557,0.0,37.7469289,-121.9493997,53,9,9,0,128411,92.79,94.38,91.19,1,0
"111 cantas pl, san ramon, ca 94583",Single Family Residential,94583,1189000,4,2,2259,8075,124,526,0.0,37.750047,-121.9359117,48,9,9,0,128411,92.79,94.38,91.19,1,0
"7564 northland ave, san ramon, ca 94583",Single Family Residential,94583,960000,4,2,1706,6984,132,563,0.0,37.73230039999999,-121.9433336,55,9,9,0,128411,92.79,94.38,91.19,1,0
"540 sutter creek ln, san ramon, ca 94583",Condo/Co-op,94583,800000,3,2,1656,0,135,483,350.0,37.743873,-121.959365,25,9,9,0,128411,92.79,94.38,91.19,1,0
"27 portsmouth ct, san ramon, ca 94582",Single Family Residential,94582,1900000,4,2,3184,22350,113,597,46.0,37.7498145,-121.9334005,39,8,10,0,145704,84.78,92.18,77.38,1,0
"47 etna ct, san ramon, ca 94583",Single Family Residential,94583,975000,3,2,1288,7000,66,757,0.0,37.7341786,-121.9457779,55,9,9,0,128411,92.79,94.38,91.19,1,0
"1 e circle ranch pl, san ramon, ca 94583",Single Family Residential,94583,1642500,4,3,2827,14512,21,581,0.0,37.7325293,-121.9517993,21,9,9,0,128411,92.79,94.38,91.19,1,0
"2070 poinsettia st, san ramon, ca 94582",Single Family Residential,94582,1100000,3,2,2030,2625,23,542,160.0,37.7590869,-121.9144875,6,8,10,0,145704,84.78,92.18,77.38,1,0
"7077 hyacinthus ln, san ramon, ca 94582",Single Family Residential,94582,1151000,4,4,2152,2200,13,535,154.0,37.7596084,-121.9116424,5,8,10,0,145704,84.78,92.18,77.38,1,0
"40 terraced hills cir, san ramon, ca 94583",Single Family Residential,94583,955000,3,2,1675,2660,23,570,89.0,37.7384384,-121.9531764,22,9,9,0,128411,92.79,94.38,91.19,1,0
"137 wilton pl, san ramon, ca 94583",Single Family Residential,94583,1175000,4,2,1795,9900,16,655,0.0,37.74425640000001,-121.9526214,54,9,9,0,128411,92.79,94.38,91.19,1,0
"2562 derby dr, san ramon, ca 94583",Single Family Residential,94583,1478000,4,3,2801,7872,24,528,40.0,37.7587862,-121.98056909999998,35,9,9,0,128411,92.79,94.38,91.19,1,0
"2568 marsh dr, san ramon, ca 94583",Single Family Residential,94583,1155000,4,3,2029,7700,90,569,28.0,37.76376670000001,-121.9765706,43,9,9,0,128411,92.79,94.38,91.19,1,0
"201 bello ct, san ramon, ca 94583",Single Family Residential,94583,1317400,3,3,1918,19575,86,687,39.0,37.7687013,-121.9919336,46,9,9,0,128411,92.79,94.38,91.19,1,0
"480 blanco ct, san ramon, ca 94583",Single Family Residential,94583,775000,3,2,1461,6050,129,530,40.0,37.7665074,-121.9854781,46,9,9,0,128411,92.79,94.38,91.19,1,0
"2906 morgan dr, san ramon, ca 94583",Single Family Residential,94583,1311000,4,3,2291,8415,43,572,40.0,37.7560902,-121.9712614,36,9,9,0,128411,92.79,94.38,91.19,1,0
"2670 twin creeks dr, san ramon, ca 94583",Single Family Residential,94583,965000,4,3,1880,8800,76,513,41.0,37.7695117,-121.9768372,43,9,9,0,128411,92.79,94.38,91.19,1,0
"2784 bollinger canyon rd, san ramon, ca 94583",Townhouse,94583,660000,3,2,1276,880,20,517,370.0,37.7691505,-121.9897649,47,9,9,0,128411,92.79,94.38,91.19,1,0
"42 seneca ln, san ramon, ca 94583",Single Family Residential,94583,1400000,5,3,2060,7722,20,680,40.0,37.7573287,-121.9743937,36,9,9,0,128411,92.79,94.38,91.19,1,0
"216 cascadas ct, san ramon, ca 94583",Single Family Residential,94583,1715000,5,4,3780,7646,20,454,93.0,37.7686091,-121.9950733,21,9,9,0,128411,92.79,94.38,91.19,1,0
"514 cartagena ln, san ramon, ca 94583",Single Family Residential,94583,1375000,4,3,2585,7700,84,532,40.0,37.7701025,-121.9748824,42,9,9,0,128411,92.79,94.38,91.19,1,0
"3353 camarones pl, san ramon, ca 94583",Single Family Residential,94583,1170000,4,2,2300,7000,143,509,0.0,37.751804,-121.9387561,45,9,9,0,128411,92.79,94.38,91.19,1,0
"3348 el suyo dr, san ramon, ca 94583",Single Family Residential,94583,1140000,4,2,1883,7326,16,605,0.0,37.751223,-121.9374006,45,9,9,0,128411,92.79,94.38,91.19,1,0
"160 reflections dr #11, san ramon, ca 94583",Condo/Co-op,94583,525000,2,2,943,0,13,557,375.0,37.7630156,-121.948742,33,9,9,0,128411,92.79,94.38,91.19,1,0
"21 stow ct, san ramon, ca 94583",Single Family Residential,94583,1580000,5,4,3295,6910,44,480,0.0,37.7284473,-121.947,23,9,9,0,128411,92.79,94.38,91.19,1,0
"32 tareyton ct, san ramon, ca 94583",Single Family Residential,94583,1089800,4,2,1617,12600,167,674,0.0,37.73369570000001,-121.9456445,52,9,9,0,128411,92.79,94.38,91.19,1,0
"2873 springdale ln, san ramon, ca 94583",Single Family Residential,94583,955000,4,2,1479,7000,167,646,0.0,37.7402919,-121.9476221,50,9,9,0,128411,92.79,94.38,91.19,1,0
"3096 riviera way, san ramon, ca 94583",Single Family Residential,94583,1025000,4,2,2009,7000,121,510,0.0,37.7455885,-121.942267,45,9,9,0,128411,92.79,94.38,91.19,1,0
"2920 biddleford dr, san ramon, ca 94583",Single Family Residential,94583,1080000,4,2,1419,7500,13,761,0.0,37.74416,-121.9478665,53,9,9,0,128411,92.79,94.38,91.19,1,0
"7560 ashford way, dublin, ca 94568",Single Family Residential,94568,850000,4,2,1338,6999,111,635,0.0,37.72434370000001,-121.933845,58,8,11,1,119637,83.72,94.25,73.19,0,0
"55 elmwood dr, san ramon, ca 94583",Single Family Residential,94583,965000,3,2,1772,4200,171,545,85.0,37.7263202,-121.929956,24,9,9,0,128411,92.79,94.38,91.19,1,0
"8985 alcosta blvd #184, san ramon, ca 94583",Condo/Co-op,94583,479000,2,2,1230,632,100,389,583.0,37.7257661,-121.9356201,50,9,9,0,128411,92.79,94.38,91.19,1,0
"2871 kaiser dr, santa clara, ca 95051",Townhouse,95051,1480000,3,4,1951,1934,155,759,350.0,37.342058,-121.9785866,6,6,14,0,106660,60.92,90.86,30.97,0,1
"1114 lily ave, sunnyvale, ca 94086",Single Family Residential,94086,1598000,3,2,1688,5629,56,947,0.0,37.3615651,-122.0001593,66,6,4,0,105526,52.84,92.97,12.71,0,3
"173 saratoga ave, santa clara, ca 95050",Townhouse,95050,1199000,3,2,1855,2079,15,646,350.0,37.327624,-121.96526,40,6,6,0,73016,54.05,83.99,24.1,0,1
"1327 halford ave, santa clara, ca 95051",Townhouse,95051,1050000,2,2,1524,1883,140,689,415.0,37.3490899,-121.998912,43,6,14,0,106660,60.92,90.86,30.97,0,1
"758 los olivos dr, santa clara, ca 95050",Single Family Residential,95050,1625000,4,2,1854,7135,39,876,0.0,37.3400028,-121.9662629,65,6,6,0,73016,54.05,83.99,24.1,0,1
"575 n winchester blvd, santa clara, ca 95050",Single Family Residential,95050,1775000,4,4,2679,6535,1,663,0.0,37.3424393,-121.9514216,15,6,6,0,73016,54.05,83.99,24.1,0,1
"2279 newhall st, santa clara, ca 95050",Single Family Residential,95050,1000000,3,1,1092,5314,37,916,0.0,37.337918,-121.9428448,73,6,6,0,73016,54.05,83.99,24.1,0,1
"1933 hillebrant pl, santa clara, ca 95050",Townhouse,95050,1285888,3,4,1637,730,11,786,304.0,37.354031,-121.958814,11,6,6,0,73016,54.05,83.99,24.1,0,1
"938 kiely blvd unit g, santa clara, ca 95051",Condo/Co-op,95051,581000,2,1,882,0,39,659,508.0,37.343081,-121.9788834,50,6,14,0,106660,60.92,90.86,30.97,0,1
"2013 cabrillo ct, santa clara, ca 95051",Single Family Residential,95051,1360000,4,2,1368,6551,129,994,0.0,37.3600336,-121.9771146,61,6,14,0,106660,60.92,90.86,30.97,0,1
"785 pineview dr, san jose, ca 95117",Single Family Residential,95117,1315000,3,2,1250,6969,175,1052,0.0,37.3296,-121.9548877,68,4,2,0,71307,40.78,72.01,9.55,4,3
"751 n henry ave, san jose, ca 95117",Single Family Residential,95117,1430000,3,2,1418,7140,64,1008,0.0,37.3293448,-121.9557987,67,4,2,0,71307,40.78,72.01,9.55,4,3
"121 buckingham dr #43, santa clara, ca 95051",Condo/Co-op,95051,525000,1,1,656,0,119,800,420.0,37.3259217,-121.970786,52,6,14,0,106660,60.92,90.86,30.97,0,1
"120 saratoga ave #76, santa clara, ca 95051",Condo/Co-op,95051,670000,2,2,950,0,127,705,481.0,37.3261066,-121.96969140000002,52,6,14,0,106660,60.92,90.86,30.97,0,1
"1675 graham ln, santa clara, ca 95050",Single Family Residential,95050,1400000,3,2,1563,5940,163,896,0.0,37.3543105,-121.9677069,71,6,6,0,73016,54.05,83.99,24.1,0,1
"977 warburton ave #301, santa clara, ca 95050",Condo/Co-op,95050,712000,2,2,876,960,119,813,480.0,37.3583284,-121.9485525,34,6,6,0,73016,54.05,83.99,24.1,0,1
"1649 monroe st, santa clara, ca 95050",Single Family Residential,95050,1850000,4,3,2358,4035,51,785,0.0,37.354779,-121.95102,1,6,6,0,73016,54.05,83.99,24.1,0,1
"1048 monroe st unit 210, santa clara, ca 95050",Condo/Co-op,95050,1095000,3,2,1236,38186,58,886,443.0,37.3489643,-121.9485736,2,6,6,0,73016,54.05,83.99,24.1,0,1
"2315 south dr, santa clara, ca 95051",Single Family Residential,95051,1700000,6,4,3030,6825,60,561,0.0,37.3646013,-121.968951,56,6,14,0,106660,60.92,90.86,30.97,0,1
"3901 lick mill blvd #215, santa clara, ca 95054",Condo/Co-op,95054,745000,1,1,900,0,28,828,399.0,37.3962226,-121.9422793,16,6,4,0,123048,47.71,81.97,13.45,0,1
"2437 tulip rd, san jose, ca 95128",Single Family Residential,95128,1300000,3,1,1304,7850,50,997,0.0,37.3351714,-121.9483554,71,5,3,0,73811,62.54,87.29,37.78,4,3
"2523 fernwood ave, san jose, ca 95117",Single Family Residential,95117,1150000,3,2,1264,5512,31,910,0.0,37.3283835,-121.9509995,69,4,2,0,71307,40.78,72.01,9.55,4,3
"4330 watson cir, santa clara, ca 95054",Single Family Residential,95054,1410000,3,3,1590,1802,30,887,140.0,37.3993336,-121.9486998,17,6,4,0,123048,47.71,81.97,13.45,0,1
"4205 marston ln, santa clara, ca 95054",Single Family Residential,95054,1799900,3,4,2128,2975,32,846,140.0,37.3977343,-121.9488997,18,6,4,0,123048,47.71,81.97,13.45,0,1
"2928 lamory pl, santa clara, ca 95051",Condo/Co-op,95051,1815000,4,4,2229,0,109,814,384.0,37.3754618,-121.99229440000002,1,6,14,0,106660,60.92,90.86,30.97,0,1
"4774 cheeney st, santa clara, ca 95054",Single Family Residential,95054,1540000,4,2,2086,2754,140,738,84.0,37.4000939,-121.9655964,23,6,4,0,123048,47.71,81.97,13.45,0,1
"4934 plaza escuela, santa clara, ca 95054",Condo/Co-op,95054,792500,3,2,1240,0,137,639,377.0,37.405008,-121.964976,43,6,4,0,123048,47.71,81.97,13.45,0,1
"2823 cozumel cir, santa clara, ca 95051",Townhouse,95051,1041500,3,2,1670,1535,31,624,300.0,37.3536828,-121.97804740000002,32,6,14,0,106660,60.92,90.86,30.97,0,1
"4082 davis st, santa clara, ca 95054",Single Family Residential,95054,1400000,4,3,1992,4181,30,703,0.0,37.3917537,-121.958887,14,6,4,0,123048,47.71,81.97,13.45,0,1
"1950 garzoni pl, santa clara, ca 95054",Townhouse,95054,1229000,3,2,1646,875,155,747,174.0,37.397627,-121.958676,16,6,4,0,123048,47.71,81.97,13.45,0,1
"2936 lamory pl, santa clara, ca 95051",Condo/Co-op,95051,1263500,2,3,1268,0,111,996,0.0,37.3754618,-121.99229440000002,1,6,14,0,106660,60.92,90.86,30.97,0,1
"2679 brady ct, santa clara, ca 95051",Single Family Residential,95051,1590000,3,3,1966,7223,56,809,0.0,37.3546155,-121.9746158,65,6,14,0,106660,60.92,90.86,30.97,0,1
"1889 garzoni pl, santa clara, ca 95054",Townhouse,95054,1070000,3,2,1458,825,63,734,175.0,37.3982581,-121.9584041,16,6,4,0,123048,47.71,81.97,13.45,0,1
"2922 lamory pl, santa clara, ca 95051",Condo/Co-op,95051,1566000,3,4,1865,0,111,840,0.0,37.3754618,-121.99229440000002,1,6,14,0,106660,60.92,90.86,30.97,0,1
"2910 lamory pl, santa clara, ca 95051",Condo/Co-op,95051,1800000,4,4,2229,0,111,808,0.0,37.3754618,-121.99229440000002,1,6,14,0,106660,60.92,90.86,30.97,0,1
"771 fairlane ave, santa clara, ca 95051",Single Family Residential,95051,1635000,4,2,1651,6439,109,990,0.0,37.3371648,-121.9784366,62,6,14,0,106660,60.92,90.86,30.97,0,1
"1276 meadowlark ave, san jose, ca 95128",Single Family Residential,95128,1107000,3,1,1040,6656,78,1064,0.0,37.3357491,-121.9489331,71,5,3,0,73811,62.54,87.29,37.78,4,3
"2357 bohannon dr, santa clara, ca 95050",Single Family Residential,95050,1575000,4,2,1675,6153,168,940,0.0,37.332356,-121.9594646,69,6,6,0,73016,54.05,83.99,24.1,0,1
"2422 newhall st, san jose, ca 95128",Single Family Residential,95128,1020000,3,1,1040,5900,35,981,0.0,37.33726710000001,-121.9481332,72,5,3,0,73811,62.54,87.29,37.78,4,3
"2206 boxwood dr, san jose, ca 95128",Single Family Residential,95128,1245000,3,1,1092,6738,3,1140,0.0,37.33728770000001,-121.94106709999998,73,5,3,0,73811,62.54,87.29,37.78,4,3
"591 hillsdale ave, santa clara, ca 95051",Single Family Residential,95051,1850000,4,2,1811,6532,111,1022,0.0,37.3323214,-121.9977606,65,6,14,0,106660,60.92,90.86,30.97,0,1
"277 kellogg way, santa clara, ca 95051",Single Family Residential,95051,1805000,3,2,1388,9026,164,1300,0.0,37.3280922,-121.9833679,63,6,14,0,106660,60.92,90.86,30.97,0,1
"1765 market st, santa clara, ca 95050",Single Family Residential,95050,818000,3,1,1324,7700,65,618,0.0,37.3431021,-121.9514661,116,6,6,0,73016,54.05,83.99,24.1,0,1
"483 juanita dr, santa clara, ca 95050",Single Family Residential,95050,1650000,4,3,3202,6667,111,515,0.0,37.33618920000001,-121.9580871,69,6,6,0,73016,54.05,83.99,24.1,0,1
"975 hilmar st, santa clara, ca 95050",Single Family Residential,95050,1155000,3,2,1868,6600,119,618,0.0,37.34075770000001,-121.9390227,68,6,6,0,73016,54.05,83.99,24.1,0,1
"1145 market st, santa clara, ca 95050",Single Family Residential,95050,1255000,3,2,1088,4385,95,1153,0.0,37.3456429,-121.9442669,84,6,6,0,73016,54.05,83.99,24.1,0,1
"480 n winchester blvd #10, santa clara, ca 95050",Condo/Co-op,95050,825000,2,2,1248,1066,162,661,399.0,37.340661,-121.95109740000002,40,6,6,0,73016,54.05,83.99,24.1,0,1
